order_number,line_item_id,item_category,item_description,quantity,unit_price,item_total
PO-2023-003108,2,Warranty/Support,Extended Warranty,8,38257.54,306060.35
PO-2023-000435,3,Load Balancer,F5 BIG-IP 4200v,1,75384.71,75384.71
PO-2023-001711,1,Warranty/Support,Extended Warranty,3,34624.66,103873.98
PO-2023-002069,4,Firewall,ASA 5516-X,2,133066.12,266132.24
PO-2023-001551,4,Software License,VMware vSphere,2,96060.21,192120.43
PO-2023-003266,7,Rack,SmartRack 25U,4,2454.68,9818.71
PO-2023-002226,1,Software License,Microsoft SQL Server,6,88666.39,531998.36
PO-2023-002640,3,Software License,Red Hat Enterprise Linux,1,5180.56,5180.56
PO-2023-003047,9,Rack,Wall Mount 12U,3,4219.92,12659.76
PO-2023-001301,3,Network Switch,PowerConnect 8024F,2,27070.49,54140.98
PO-2023-000429,6,Server,ProLiant DL380 Gen10,3,23805.84,71417.51
PO-2023-001213,2,Software License,Citrix XenApp,4,11568.34,46273.36
PO-2023-003388,1,Rack,SmartRack 25U,1,3974.91,3974.91
PO-2023-001666,1,Server,ProLiant DL380 Gen10,6,8948.09,53688.53
PO-2023-003179,2,Cooling Unit,CoolIT Direct2Die,3,37967.76,113903.27
PO-2023-001848,1,UPS,PowerMax 2000,1,11365.16,11365.16
PO-2023-002701,1,Load Balancer,A10 Thunder 3030S,12,47125.99,565511.91
PO-2023-003477,3,Optics/Transceivers,SFP28 25GBASE-SR,5,2368.74,11843.69
PO-2023-001754,7,Router,ISR 4451,3,69884.41,209653.22
PO-2023-002071,2,Optics/Transceivers,SFP+ 10GBASE-SR,1,3504.56,3504.56
PO-2023-000209,2,Warranty/Support,Premium Support,4,30785.64,123142.54
PO-2023-002860,2,Optics/Transceivers,SFP+ 10GBASE-SR,1,4353.91,4353.91
PO-2023-000735,1,Load Balancer,Citrix ADC VPX,1,68831.44,68831.44
PO-2023-003129,2,Storage Array,VMAX All Flash,4,112539.9,450159.61
PO-2023-002173,1,Router,ISR 4451,2,30089.7,60179.39
PO-2023-001110,2,Router,ASR 1001-X,2,60960.71,121921.42
PO-2023-002082,5,UPS,PowerMax 2000,1,49370.16,49370.16
PO-2023-002399,3,Warranty/Support,5-Year 24x7x4,1,19522.34,19522.34
PO-2023-001028,6,Optics/Transceivers,QSFP+ 40GBASE-LR4,1,3430.57,3430.57
PO-2023-003053,6,PDU,Switched Rack PDU,3,1023.2,3069.61
PO-2023-001802,2,Load Balancer,HAProxy Enterprise,1,39411.64,39411.64
PO-2023-000194,1,Server,ThinkSystem SR650,4,40816.69,163266.75
PO-2023-002168,1,Load Balancer,A10 Thunder 3030S,3,85245.26,255735.77
PO-2023-000677,1,Router,MX480,2,51012.58,102025.15
PO-2023-001935,2,Cable,Fiber Optic Cable SC-LC,1,357.23,357.23
PO-2023-001241,8,Optics/Transceivers,CFP 100GBASE-LR4,1,4100.66,4100.66
PO-2023-001672,6,Router,7206 VXR,3,12460.13,37380.39
PO-2023-001032,1,Firewall,TZ570,2,52182.92,104365.84
PO-2023-000842,7,Software License,Citrix XenApp,1,35316.59,35316.59
PO-2023-000156,3,Network Switch,Arista 7050X3,2,15644.75,31289.51
PO-2023-002810,3,Storage Array,Pure FlashArray//X,1,407002.81,407002.81
PO-2023-003197,5,Cooling Unit,Stulz CyberAir,3,52609.08,157827.23
PO-2023-001391,1,Cooling Unit,Liebert XD,2,60427.31,120854.62
PO-2023-002404,2,Storage Array,Unity XT 480,1,371487.31,371487.31
PO-2023-002495,2,Server,ProLiant DL380 Gen10,1,19817.02,19817.02
PO-2023-002644,2,Warranty/Support,Hardware Replacement,1,20864.4,20864.4
PO-2023-002670,5,UPS,PowerMax 2000,2,16249.25,32498.49
PO-2023-002947,1,Router,MX480,2,68633.05,137266.1
PO-2023-002462,5,Cable,Fiber Optic Cable SC-LC,3,231.51,694.52
PO-2023-002315,7,Software License,Red Hat Enterprise Linux,7,62271.2,435898.4
PO-2023-002144,2,PDU,Basic Rack PDU,7,2224.14,15568.95
PO-2023-001728,1,Software License,Citrix XenApp,1,93105.83,93105.83
PO-2023-002777,5,Storage Array,Unity XT 480,1,481233.2,481233.2
PO-2023-003287,3,Storage Array,VMAX All Flash,4,438863.13,1755452.53
PO-2023-001598,4,Router,SRX5800,2,70683.6,141367.21
PO-2023-002928,2,UPS,PowerMax 2000,2,38732.26,77464.53
PO-2023-003461,1,Warranty/Support,ProSupport Plus,1,36480.39,36480.39
PO-2023-002340,3,Warranty/Support,Hardware Replacement,2,30783.1,61566.19
PO-2023-001024,13,Firewall,FortiGate 600E,2,72324.42,144648.83
PO-2023-000363,4,Cooling Unit,CoolIT Direct2Die,5,79743.56,398717.81
PO-2023-002906,4,Optics/Transceivers,CFP 100GBASE-LR4,4,2151.25,8605.02
PO-2023-002050,2,Warranty/Support,ProSupport Plus,2,16483.65,32967.3
PO-2023-000334,6,Software License,Microsoft SQL Server,2,49946.9,99893.8
PO-2023-000010,2,Firewall,PA-3220,1,136086.54,136086.54
PO-2023-002257,3,Server,ProLiant DL380 Gen10,2,6662.51,13325.02
PO-2023-001101,1,Warranty/Support,3-Year Next Business Day,8,25738.94,205911.55
PO-2023-002337,3,Load Balancer,HAProxy Enterprise,2,80974.96,161949.91
PO-2023-001286,1,Storage Array,Pure FlashArray//X,2,239341.4,478682.8
PO-2023-000300,4,Software License,Red Hat Enterprise Linux,8,41170.23,329361.84
PO-2023-001652,3,Server,ThinkSystem SR650,2,5369.02,10738.03
PO-2023-003342,2,Router,MX480,1,22909.1,22909.1
PO-2023-000111,13,Warranty/Support,ProSupport Plus,2,21380.49,42760.99
PO-2023-002676,1,Optics/Transceivers,QSFP+ 40GBASE-LR4,1,1634.49,1634.49
PO-2023-000556,4,Firewall,PA-3220,1,39008.17,39008.17
PO-2023-000695,1,Load Balancer,F5 BIG-IP 4200v,2,97175.24,194350.49
PO-2023-000173,1,PDU,Monitored PDU,4,2955.13,11820.53
PO-2023-001261,2,Cable,USB 3.0 Cable,3,223.14,669.41
PO-2023-000379,1,Storage Array,Unity XT 480,2,379063.93,758127.85
PO-2023-003030,2,Server,UCS C220 M5,1,25240.37,25240.37
PO-2023-001858,2,Software License,Oracle Database,5,86758.02,433790.08
PO-2023-000553,2,Software License,VMware vSphere,1,48860.89,48860.89
PO-2023-000496,2,Router,ISR 4451,3,74033.69,222101.08
PO-2023-000265,5,Cooling Unit,Stulz CyberAir,4,28367.89,113471.56
PO-2023-003146,2,Server,PowerEdge R740,5,34608.21,173041.04
PO-2023-000020,9,Network Switch,PowerConnect 8024F,2,46390.41,92780.83
PO-2023-000932,1,Cooling Unit,CoolIT Direct2Die,2,14119.87,28239.74
PO-2023-001282,2,UPS,Galaxy 7000,5,46072.7,230363.49
