order_number,order_date,total_amount,vendor,destination_dc_code
PO-2023-000001,2023-01-16,287622.53,Dell Technologies,DC-JP001
PO-2023-000002,2023-12-24,60224.27,Juniper Networks,DC-DE001
PO-2023-000003,2023-10-22,474361.49,Super Micro Computer,DC-US013
PO-2023-000004,2023-09-20,697759.98,HPE (Hewlett Packard Enterprise),DC-NL004
PO-2023-000005,2023-06-22,83640.85,Lenovo,DC-BR001
PO-2023-000006,2023-04-03,81787.77,Dell Technologies,DC-US005
PO-2023-000007,2023-07-12,109500.45,Super Micro Computer,DC-BR001
PO-2023-000008,2023-05-23,164061.07,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-000009,2023-12-05,648004.66,Super Micro Computer,DC-BR001
PO-2023-000010,2023-12-27,864096.91,Dell Technologies,DC-IE002
PO-2023-000011,2023-11-18,85500.64,NetApp,DC-US006
PO-2023-000012,2023-08-21,90315.97,Arista Networks,DC-BR003
PO-2023-000013,2023-10-16,611022.4,Cisco Systems,DC-JP001
PO-2023-000014,2023-05-07,27685.77,Dell Technologies,DC-DE001
PO-2023-000015,2023-10-27,176896.66,Super Micro Computer,DC-DE001
PO-2023-000016,2023-04-19,322.43,Super Micro Computer,DC-SG003
PO-2023-000017,2023-11-08,524161.29,Cisco Systems,DC-CA001
PO-2023-000018,2023-10-08,1511078.59,Dell Technologies,DC-US003
PO-2023-000019,2023-01-26,82.24,Dell Technologies,DC-US002
PO-2023-000020,2023-12-17,1102649.47,Cisco Systems,DC-DE001
PO-2023-000021,2023-01-28,504903.28,Cisco Systems,DC-BR001
PO-2023-000022,2023-08-04,32074.2,Dell Technologies,DC-JP001
PO-2023-000023,2023-10-06,5023.5,Lenovo,DC-CA001
PO-2023-000024,2023-08-16,134756.99,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-000025,2023-09-28,162480.53,Cisco Systems,DC-CA001
PO-2023-000026,2023-11-27,3175072.44,Lenovo,DC-US002
PO-2023-000027,2023-12-02,815253.55,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-000028,2023-01-28,127300.79,Supermicro,DC-UK002
PO-2023-000029,2023-11-07,920348.78,Lenovo,DC-US009
PO-2023-000030,2023-08-15,307553.24,Lenovo,DC-DE001
PO-2023-000031,2023-08-08,94887.07,Schneider Electric,DC-BR001
PO-2023-000032,2023-04-05,780320.47,Dell Technologies,DC-US003
PO-2023-000033,2023-10-06,640923.79,Lenovo,DC-US001
PO-2023-000034,2023-01-15,174332.83,Lenovo,DC-US002
PO-2023-000035,2023-02-08,938182.11,Dell Technologies,DC-NL001
PO-2023-000036,2023-11-15,871966.95,Lenovo,DC-SG001
PO-2023-000037,2023-10-06,81294.17,Arista Networks,DC-NL003
PO-2023-000038,2023-10-11,30488.21,Lenovo,DC-IE001
PO-2023-000039,2023-06-24,104309.59,Cisco Systems,DC-IE001
PO-2023-000040,2023-05-08,92044.37,Dell Technologies,DC-AU001
PO-2023-000041,2023-12-02,128607.45,Cisco Systems,DC-DE001
PO-2023-000042,2023-06-18,335634.86,Cisco Systems,DC-BR001
PO-2023-000043,2023-10-02,484769.61,Dell Technologies,DC-BR001
PO-2023-000044,2023-11-25,267002.32,Cisco Systems,DC-DE001
PO-2023-000045,2023-02-20,161116.23,Dell Technologies,DC-US003
PO-2023-000046,2023-10-24,603437.85,Cisco Systems,DC-DE001
PO-2023-000047,2023-01-16,64036.96,NetApp,DC-US016
PO-2023-000048,2023-10-23,195537.68,Cisco Systems,DC-DE001
PO-2023-000049,2023-01-02,28405.96,Dell Technologies,DC-FR001
PO-2023-000050,2023-02-28,412918.7,Dell Technologies,DC-DE001
PO-2023-000051,2023-06-22,61419.66,Cisco Systems,DC-BR001
PO-2023-000052,2023-03-23,90387.13,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-000053,2023-11-02,95577.72,HPE (Hewlett Packard Enterprise),DC-BR002
PO-2023-000054,2023-05-05,549159.53,Dell Technologies,DC-US002
PO-2023-000055,2023-03-15,73091.3,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-000056,2023-06-21,60639.68,Cisco Systems,DC-US003
PO-2023-000057,2023-01-09,128155.1,Cisco Systems,DC-US002
PO-2023-000058,2023-07-09,9442.4,Juniper Networks,DC-US003
PO-2023-000059,2023-03-28,667779.48,HPE (Hewlett Packard Enterprise),DC-SG001
PO-2023-000060,2023-03-04,4069042.77,Lenovo,DC-SG002
PO-2023-000061,2023-06-19,231975.26,Dell Technologies,DC-US002
PO-2023-000062,2023-09-28,27860.3,Pure Storage,DC-US003
PO-2023-000063,2023-12-01,562486.91,Dell Technologies,DC-BR003
PO-2023-000064,2023-11-23,52855.48,Dell Technologies,DC-DE001
PO-2023-000065,2023-02-07,2986753.9,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-000066,2023-10-02,176735.62,Cisco Systems,DC-US002
PO-2023-000067,2023-09-02,314422.65,Cisco Systems,DC-IE001
PO-2023-000068,2023-11-22,60709.5,Cisco Systems,DC-DE002
PO-2023-000069,2023-01-17,7345.7,IBM,DC-US002
PO-2023-000070,2023-03-08,148683.27,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-000071,2023-02-11,214864.23,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-000072,2023-12-08,222551.56,Dell Technologies,DC-IE001
PO-2023-000073,2023-11-22,13073.48,HPE (Hewlett Packard Enterprise),DC-IN001
PO-2023-000074,2023-08-26,1375706.87,Lenovo,DC-IE001
PO-2023-000075,2023-10-18,92166.78,Cisco Systems,DC-UK001
